,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,Explanation,Min_Price($),Max_Price($)
6054,Le Patio by Lou Caléou,"23 place de la Libération, Sommières, 30250, France",Sommières,25.0,68.0,EUR,"Modern Cuisine, Market Cuisine",4.0878753,43.7818255,33466775098,https://guide.michelin.com/en/occitanie/sommires/restaurant/le-patio-by-lou-caleou,https://www.le-patio-by-lou-caleou.com/,Bib Gourmand,Good food at moderate prices,29.575000000000003,80.444
6055,Chez Mon Jules,"5 rue Étienne-de-Vesc, Vesc, 26220, France",Vesc,34.0,59.0,EUR,Country cooking,5.151026,44.521423,33475042074,https://guide.michelin.com/en/auvergne-rhone-alpes/vesc/restaurant/chez-mon-jules,http://www.chezmonjules.fr/,Bib Gourmand,Good food at moderate prices,40.222,69.797
6056,Le Gantxo,"Quartier du Port, Guiche, 64520, France",Guiche,33.0,47.0,EUR,Modern Cuisine,-1.1974514,43.5212561,33559564663,https://guide.michelin.com/en/nouvelle-aquitaine/guiche/restaurant/le-gantxo,https://www.restaurant-le-gantxo.fr/,Bib Gourmand,Good food at moderate prices,39.039,55.601
6057,Winstub Arnold,"98 route des Vins, Itterswiller, 67140, France",Itterswiller,25.0,66.0,EUR,"Alsatian, Traditional Cuisine",7.4277058,48.3639658,33388855058,https://guide.michelin.com/en/grand-est/itterswiller/restaurant/winstub-arnold,https://www.hotel-arnold.com/,Bib Gourmand,Good food at moderate prices,29.575000000000003,78.078
6058,L'Oustalet Maïanen,"16 avenue Lamartine, Maillane, 13910, France",Maillane,35.0,60.0,EUR,Traditional Cuisine,4.7825229,43.8311951,33490957460,https://guide.michelin.com/en/provence-alpes-cote-dazur/maillane/restaurant/l-oustalet-maianen,https://www.restaurant-saint-remy-de-provence.fr/,Bib Gourmand,Good food at moderate prices,41.405,70.98
6059,La Corniche,"Hameau de Castagneto, San-Martino-di-Lota, 20200, France",San-Martino-di-Lota,35.0,80.0,EUR,Corsican,9.4347259,42.7347741,33495314098,https://guide.michelin.com/en/corse/san-martino-di-lota/restaurant/la-corniche,https://www.hotel-lacorniche.com/,Bib Gourmand,Good food at moderate prices,41.405,94.64
6060,Le Clos aux Roses,"2 rue du Lavoir, Chédigny, 37310, France",Chédigny,20.0,60.0,EUR,Traditional Cuisine,0.9991615,47.2087675,33247922029,https://guide.michelin.com/en/centre-val-de-loire/chdigny/restaurant/le-clos-aux-roses,https://www.leclosauxroses.com/,Bib Gourmand,Good food at moderate prices,23.66,70.98
6061,Bistrot du Pollet,"23 rue Tête-de-Bœuf, Dieppe, 76200, France",Dieppe,32.0,45.0,EUR,"Seafood, Traditional Cuisine",1.083655,49.927124,33235846857,https://guide.michelin.com/en/normandie/dieppe/restaurant/bistrot-du-pollet,https://www.le-bistrot-du-pollet.zenchef.com/,Bib Gourmand,Good food at moderate prices,37.856,53.235
6062,Au Raisin d'Or,"1 rue de l'Église, Zimmerbach, 68230, France",Zimmerbach,17.0,53.0,EUR,Traditional Cuisine,7.2340804,48.0741413,33389710569,https://guide.michelin.com/en/grand-est/zimmerbach/restaurant/au-raisin-d-or,https://www.raisindor.fr/,Bib Gourmand,Good food at moderate prices,20.111,62.699000000000005
6063,Restaurant de la Gare,"4 rue des Ormelets, à Beaussais-sur-Mer, Ploubalay, 22650, France",Ploubalay,22.0,70.0,EUR,Traditional Cuisine,-2.1445203,48.5802845,33296272516,https://guide.michelin.com/en/bretagne/ploubalay/restaurant/restaurant-de-la-gare,https://www.restaurant-la-gare-ploubalay.com/,Bib Gourmand,Good food at moderate prices,26.026,82.81
6064,Le Bistrot d'à Côté,"16 rue des Minimes, Clermont-Ferrand, 63000, France",Clermont-Ferrand,18.0,57.0,EUR,Modern Cuisine,3.0811003,45.7778951,33473291616,https://guide.michelin.com/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/le-bistrot-d-a-cote,https://www.restaurant-bistrotdacote.fr/,Bib Gourmand,Good food at moderate prices,21.294,67.431
6065,Le Colvert,"8 rue d'en Boyer, Saint-Lieux-lès-Lavaur, 81500, France",Saint-Lieux-lès-Lavaur,18.0,60.0,EUR,Modern Cuisine,1.7592759,43.7647665,33563413247,https://guide.michelin.com/en/occitanie/saint-lieux-ls-lavaur/restaurant/le-colvert63526,https://www.restaurantlecolvert.com/,Bib Gourmand,Good food at moderate prices,21.294,70.98
6066,Madame,"52 rue Henri-Deglin, Nancy, 54000, France",Nancy,24.0,55.0,EUR,Modern Cuisine,6.1781092,48.7004448,33383223718,https://guide.michelin.com/en/grand-est/nancy/restaurant/madame,http://www.madamerestaurant.fr/,Bib Gourmand,Good food at moderate prices,28.392000000000003,65.065
6068,Auberge La Gaillotière,"Lieu-dit La Gaillotière, Château-Thébaud, 44690, France",Château-Thébaud,20.0,33.0,EUR,Traditional Cuisine,-1.43327,47.13114,33228213116,https://guide.michelin.com/en/pays-de-la-loire/chteau-thbaud/restaurant/auberge-la-gaillotiere,https://www.auberge-la-gaillotiere.fr/,Bib Gourmand,Good food at moderate prices,23.66,39.039
6069,L'Espérance - Stéphane Carbone,"512 rue Abbé-Alix, Hérouville-Saint-Clair, 14200, France",Hérouville-Saint-Clair,25.0,54.0,EUR,Modern Cuisine,-0.3189408,49.2005771,33231449710,https://guide.michelin.com/en/normandie/hrouville-saint-clair/restaurant/l-esperance-stephane-carbone,https://www.esperance-stephanecarbone.fr/,Bib Gourmand,Good food at moderate prices,29.575000000000003,63.882000000000005
